Date, Open, High, Low, Close
10/20/21, 6636.61, 6715.52, 6636.61, 6705.61
10/19/21, 6690.95, 6692.14, 6650.84, 6669.85
10/18/21, 6697.29, 6697.60, 6642.16, 6673.10
10/15/21, 6714.26, 6746.81, 6703.26, 6727.52
10/14/21, 6651.18, 6692.94, 6618.79, 6685.21
10/13/21, 6539.61, 6606.36, 6510.27, 6597.38
10/12/21, 6495.15, 6548.11, 6491.58, 6548.11
10/11/21, 6546.07, 6574.22, 6522.55, 6570.54
10/08/21, 6609.51, 6617.34, 6559.99, 6559.99
10/07/21, 6563.24, 6616.53, 6545.74, 6600.19
10/06/21, 6509.60, 6510.47, 6421.64, 6493.12
10/05/21, 6481.72, 6577.29, 6481.72, 6576.28
10/04/21, 6484.90, 6540.96, 6452.78, 6477.66
10/01/21, 6421.10, 6535.46, 6412.70, 6517.69
09/30/21, 6615.99, 6621.75, 6509.23, 6520.01
09/29/21, 6549.41, 6590.81, 6538.11, 6560.80
09/28/21, 6634.72, 6643.58, 6491.42, 6506.50
09/27/21, 6683.85, 6688.76, 6647.08, 6650.91
09/24/21, 6675.73, 6678.65, 6625.43, 6638.46
09/23/21, 6691.08, 6718.80, 6667.36, 6701.98
09/22/21, 6612.10, 6642.31, 6595.93, 6637.00
09/21/21, 6513.75, 6570.13, 6513.75, 6552.73
09/20/21, 6450.39, 6471.09, 6389.62, 6455.81
09/17/21, 6679.45, 6697.08, 6551.62, 6570.19
09/16/21, 6613.71, 6663.41, 6612.16, 6622.59
09/15/21, 6654.83, 6659.27, 6577.02, 6583.62
09/14/21, 6672.19, 6677.07, 6613.52, 6652.97
09/13/21, 6688.77, 6722.00, 6670.85, 6676.93
09/10/21, 6707.33, 6722.73, 6651.06, 6663.77
09/09/21, 6618.82, 6708.33, 6605.09, 6684.72
09/08/21, 6688.84, 6712.05, 6628.98, 6668.89
09/07/21, 6731.36, 6749.14, 6721.35, 6726.07
09/06/21, 6704.35, 6756.40, 6700.45, 6743.50
09/03/21, 6758.38, 6758.38, 6667.39, 6689.99
09/02/21, 6753.18, 6778.33, 6747.17, 6763.08
09/01/21, 6736.44, 6784.66, 6730.17, 6758.69
08/31/21, 6692.85, 6708.14, 6650.90, 6680.18
08/30/21, 6690.28, 6697.52, 6675.32, 6687.30
08/27/21, 6658.27, 6682.15, 6644.68, 6681.92
08/26/21, 6646.37, 6673.94, 6618.69, 6666.03
08/25/21, 6683.18, 6684.21, 6667.25, 6676.48
08/24/21, 6717.77, 6717.77, 6634.69, 6664.31
08/23/21, 6699.32, 6699.32, 6657.14, 6683.10
08/20/21, 6602.95, 6633.19, 6567.93, 6626.11
08/19/21, 6665.12, 6671.17, 6560.74, 6605.89
08/18/21, 6824.64, 6828.33, 6759.74, 6770.11
08/17/21, 6812.42, 6827.49, 6789.11, 6819.84
08/16/21, 6849.68, 6863.74, 6817.43, 6838.77
08/13/21, 6888.48, 6913.67, 6885.64, 6896.04
08/12/21, 6861.44, 6891.29, 6854.99, 6882.47
08/11/21, 6840.28, 6867.11, 6821.21, 6857.99
08/10/21, 6817.63, 6833.12, 6811.77, 6820.21
08/09/21, 6818.54, 6832.77, 6806.98, 6813.18
08/06/21, 6772.49, 6832.94, 6763.01, 6816.96
08/05/21, 6750.86, 6788.69, 6750.86, 6781.19
08/04/21, 6751.15, 6766.61, 6730.60, 6746.23
08/03/21, 6692.60, 6749.88, 6688.12, 6723.81
08/02/21, 6657.95, 6690.80, 6639.31, 6675.90
07/30/21, 6608.16, 6648.20, 6596.99, 6612.76
07/29/21, 6647.08, 6671.12, 6633.77, 6633.77
07/28/21, 6547.47, 6609.31, 6530.74, 6609.31
07/27/21, 6565.19, 6578.04, 6516.57, 6531.92
07/26/21, 6532.01, 6588.09, 6517.05, 6578.60
07/23/21, 6518.60, 6574.86, 6510.27, 6568.82
07/22/21, 6498.31, 6525.21, 6474.05, 6481.59
07/21/21, 6382.36, 6471.65, 6381.94, 6464.48
07/20/21, 6325.16, 6386.46, 6304.85, 6346.85
07/19/21, 6398.84, 6403.51, 6253.25, 6295.97
07/16/21, 6524.95, 6526.76, 6418.25, 6460.08
07/15/21, 6538.41, 6554.79, 6471.07, 6493.36
07/14/21, 6533.80, 6565.20, 6530.91, 6558.38
07/13/21, 6561.74, 6569.37, 6536.45, 6558.47
07/12/21, 6525.11, 6567.98, 6479.54, 6559.25
07/09/21, 6435.29, 6532.56, 6429.67, 6529.42
07/08/21, 6479.40, 6483.32, 6348.64, 6396.73
07/07/21, 6529.49, 6550.95, 6497.75, 6527.72
07/06/21, 6551.00, 6561.51, 6483.20, 6507.48
07/05/21, 6545.98, 6582.87, 6520.38, 6567.54
07/02/21, 6572.00, 6582.79, 6540.12, 6552.86
07/01/21, 6549.82, 6588.14, 6502.05, 6553.82
06/30/21, 6562.17, 6575.84, 6474.43, 6507.83
06/29/21, 6564.07, 6599.88, 6561.09, 6567.43
06/28/21, 6611.99, 6633.73, 6556.88, 6558.02
06/25/21, 6637.68, 6641.90, 6604.86, 6622.87
06/24/21, 6576.07, 6639.83, 6572.81, 6631.15
06/23/21, 6616.73, 6619.02, 6551.07, 6551.07
06/22/21, 6609.98, 6622.20, 6583.50, 6611.50
06/21/21, 6525.03, 6607.99, 6511.93, 6602.54
06/18/21, 6657.23, 6687.29, 6560.12, 6569.16
06/17/21, 6636.70, 6674.37, 6631.63, 6666.26
06/16/21, 6657.52, 6659.38, 6632.36, 6652.65
06/15/21, 6643.42, 6655.66, 6634.45, 6639.52
06/14/21, 6625.55, 6650.16, 6599.27, 6616.35
06/11/21, 6550.30, 6607.61, 6549.83, 6600.66
06/10/21, 6574.59, 6574.59, 6526.23, 6546.49
06/09/21, 6561.93, 6570.82, 6533.37, 6563.45
06/08/21, 6545.69, 6574.21, 6540.71, 6551.01
06/07/21, 6509.98, 6560.39, 6485.80, 6543.56
06/04/21, 6514.27, 6517.93, 6497.39, 6515.66
06/03/21, 6518.58, 6522.23, 6473.67, 6507.92
06/02/21, 6489.90, 6521.82, 6482.10, 6521.52
06/01/21, 6470.42, 6521.57, 6464.71, 6489.40
05/31/21, 6483.32, 6496.32, 6441.76, 6447.17
05/28/21, 6453.12, 6493.72, 6448.87, 6484.11
05/27/21, 6379.83, 6467.72, 6379.83, 6435.71
05/26/21, 6403.95, 6413.72, 6375.14, 6391.60
05/25/21, 6416.61, 6422.83, 6390.27, 6390.27
05/24/21, 6395.96, 6408.49, 6382.71, 6408.49
05/21/21, 6360.88, 6402.10, 6351.95, 6386.41
05/20/21, 6296.25, 6343.58, 6267.55, 6343.58
05/19/21, 6292.05, 6310.49, 6192.33, 6262.55
05/18/21, 6406.18, 6412.91, 6343.55, 6353.67
05/17/21, 6397.22, 6410.21, 6349.33, 6367.35
05/14/21, 6335.82, 6385.67, 6301.19, 6385.14
05/13/21, 6219.73, 6303.70, 6150.43, 6288.33
05/12/21, 6259.63, 6299.24, 6233.96, 6279.35
05/11/21, 6314.27, 6324.31, 6226.11, 6267.39
05/10/21, 6395.38, 6395.60, 6367.04, 6385.99
05/07/21, 6388.92, 6390.04, 6342.37, 6385.51
05/06/21, 6348.90, 6377.58, 6321.72, 6357.09
05/05/21, 6284.54, 6339.47, 6275.14, 6339.47
05/04/21, 6319.49, 6355.87, 6238.79, 6251.75
05/03/21, 6285.51, 6314.92, 6252.66, 6307.90
04/30/21, 6316.32, 6320.14, 6268.86, 6269.48
04/29/21, 6341.12, 6352.36, 6287.44, 6302.57
04/28/21, 6293.21, 6320.11, 6283.62, 6306.98
04/27/21, 6273.36, 6282.52, 6255.41, 6273.76
04/26/21, 6256.04, 6288.79, 6240.99, 6275.52
04/23/21, 6259.63, 6280.81, 6227.19, 6257.94
04/22/21, 6230.21, 6274.19, 6225.59, 6267.28
04/21/21, 6180.69, 6227.04, 6178.66, 6210.55
04/20/21, 6281.10, 6285.29, 6154.03, 6165.11
04/19/21, 6294.74, 6319.08, 6293.17, 6296.69
04/16/21, 6229.65, 6299.56, 6229.30, 6287.07
04/15/21, 6219.04, 6244.23, 6209.59, 6234.14
04/14/21, 6214.49, 6217.74, 6194.55, 6208.58
04/13/21, 6171.88, 6193.24, 6156.49, 6184.10
04/12/21, 6167.32, 6183.02, 6151.52, 6161.68
04/09/21, 6171.60, 6188.48, 6161.42, 6169.41
04/08/21, 6153.36, 6171.45, 6146.22, 6165.72
04/07/21, 6137.63, 6154.38, 6118.91, 6130.66
04/06/21, 6155.22, 6159.10, 6125.74, 6131.34
04/01/21, 6079.67, 6106.12, 6063.86, 6102.96
03/31/21, 6085.02, 6097.74, 6060.24, 6067.23
03/30/21, 6044.54, 6095.08, 6041.39, 6088.04
03/29/21, 5995.00, 6029.59, 5985.36, 6015.51
03/26/21, 5979.23, 6002.95, 5962.46, 5988.81
03/25/21, 5911.04, 5952.41, 5886.00, 5952.41
03/24/21, 5901.64, 5948.67, 5890.55, 5947.29
03/23/21, 5943.31, 5968.56, 5921.83, 5945.30
03/22/21, 5960.85, 5987.23, 5943.71, 5968.48
03/19/21, 6021.13, 6047.65, 5983.61, 5997.96
03/18/21, 6076.21, 6082.92, 6044.32, 6062.79
03/17/21, 6048.31, 6062.36, 6037.25, 6054.82
03/16/21, 6050.40, 6061.19, 6034.76, 6055.43
03/15/21, 6069.09, 6089.20, 6018.55, 6035.97
03/12/21, 6030.63, 6046.55, 6017.41, 6046.55
03/11/21, 6004.16, 6033.76, 5995.41, 6033.76
03/10/21, 5915.17, 5993.63, 5912.35, 5990.55
03/09/21, 5903.26, 5937.81, 5895.33, 5924.97
03/08/21, 5822.92, 5912.50, 5799.05, 5902.99
03/05/21, 5794.48, 5837.55, 5755.60, 5782.65
03/04/21, 5800.73, 5844.69, 5797.67, 5830.65
03/03/21, 5841.20, 5871.43, 5788.66, 5830.06
03/02/21, 5774.62, 5835.74, 5773.52, 5809.73
03/01/21, 5770.89, 5804.35, 5765.80, 5792.79
02/26/21, 5715.69, 5768.03, 5688.26, 5703.22
